Talk_ID,Speaker,Topic,Source_Url,Video_Description,Staged_At,Video_Duration,Date_Created(mm/yyyy),Publised_On,Total_Views
2107,Alessandra Orofino,Itâ€™s our city. Letâ€™s fix it,http://www.ted.com/talks/view/id/2107,"Too often, people feel checked out of politics -- even at the level of their own city. But urban activist Alessandra Orofino thinks that can change, using a mix of tech and old-fashioned human connection. Sharing examples from her hometown of Rio, she says: ""It is up to us to decide whether we want schools or parking lots, recycling projects or construction sites, cars or buses, loneliness or solidarity.""",TEDGlobal 2014,0:15:15,10/2014,11/3/14,13.49225657
2465,Haley Van Dyck,How a start-up in the White House is changing business as usual,http://www.ted.com/talks/view/id/2465,"Haley Van Dyck is transforming the way America delivers critical services to everyday people. At the United States Digital Service, Van Dyck and her team are using lessons learned by Silicon Valley and the private sector to improve services for veterans, immigrants, the disabled and others, creating a more awesome government along the way. ""We don't care about politics,"" she says. ""We care about making government work better, because it's the only one we've got.""",TED2016,0:15:15,2/2016,4/4/16,13.76256854
516,JoAnn Kuchera-Morin,Stunning data visualization in the AlloSphere,http://www.ted.com/talks/view/id/516,"JoAnn Kuchera-Morin demos the AlloSphere, a new way to see, hear and interpret scientific data. Dive into the brain, feel electron spin, hear the music of the elements ... and detect previously unseen patterns that could lead to new discoveries.",TED2009,0:06:27,2/2009,4/15/09,13.34214288
35,James Watson,How we discovered DNA,http://www.ted.com/talks/view/id/35,"Nobel laureate James Watson opens TED2005 with the frank and funny story of how he and his research partner, Francis Crick, discovered the structure of DNA.",TED2005,0:20:11,2/2005,4/5/07,14.21282185
719,Asher Hasan,My message of peace from Pakistan,http://www.ted.com/talks/view/id/719,"One of a dozen Pakistanis who came to TEDIndia despite security hassles entering the country, TED Fellow Asher Hasan shows photos of ordinary Pakistanis that drive home a profound message for citizens of all nations: look beyond disputes, and see the humanity we share.",TEDIndia 2009,0:04:28,11/2009,12/23/09,12.92797491
854,Enric Sala,Glimpses of a pristine ocean,http://www.ted.com/talks/view/id/854,"Enric Sala shares glorious images -- and surprising insights and data -- from some of the most pristine areas of the ocean. He shows how we can restore more of our oceans to this healthy, balanced state, and the powerful ecological and economic benefits of doing so.",Mission Blue Voyage,0:19:55,4/2010,5/12/10,12.65772135
2110,Melissa Fleming,"Let's help refugees thrive, not just survive",http://www.ted.com/talks/view/id/2110,"Today's refugee crisis is the biggest since World War II, and it's growing. When this talk was given, 50 million people had been forcefully displaced from their homes by conflict and war; now the number is 65.3 million. There were 3 million Syrian refugees in 2014; now there are 4.9 million. Inside this overwhelming crisis are the individual human stories -- of care, growth and family, in the face of lost education, lost home, lost future. Melissa Fleming of the UN's refugee agency tells the refugees' stories -- and asks us to help them rebuild their world.",TEDGlobal 2014,0:16:08,10/2014,10/16/14,13.89257622
77,Sheila Patek,The shrimp with a kick!,http://www.ted.com/talks/view/id/77,"Biologist Sheila Patek talks about her work measuring the feeding strike of the mantis shrimp, one of the fastest movements in the animal world, using video cameras recording at 20,000 frames per second.",TED2004,0:16:25,2/2004,4/5/07,13.87147209
221,George Dyson,The story of Project Orion,http://www.ted.com/talks/view/id/221,"Author George Dyson spins the story of Project Orion, a massive, nuclear-powered spacecraft that could have taken us to Saturn in five years. His insiderâ€™s perspective and a secret cache of documents bring an Atomic Age dream to life.",TED2002,0:08:38,2/2002,2/14/08,13.56658242
650,Carolyn Steel,How food shapes our cities,http://www.ted.com/talks/view/id/650,"Every day, in a city the size of London, 30 million meals are served. But where does all the food come from? Architect Carolyn Steel discusses the daily miracle of feeding a city, and shows how ancient food routes shaped the modern world.",TEDGlobal 2009,0:15:40,7/2009,10/5/09,13.81797951
1377,Susan Cain,The power of introverts,http://www.ted.com/talks/view/id/1377,"In a culture where being social and outgoing are prized above all else, it can be difficult, even shameful, to be an introvert. But, as Susan Cain argues in this passionate talk, introverts bring extraordinary talents and abilities to the world, and should be encouraged and celebrated.",TED2012,0:19:04,2/2012,3/2/12,16.64623168
2494,Jennifer Kahn,Gene editing can now change an entire species -- forever,http://www.ted.com/talks/view/id/2494,"CRISPR gene drives allow scientists to change sequences of DNA and guarantee that the resulting edited genetic trait is inherited by future generations, opening up the possibility of altering entire species forever. More than anything, the technology has led to questions: How will this new power affect humanity? What are we going to use it to change? Are we gods now? Join journalist Jennifer Kahn as she ponders these questions and shares a potentially powerful application of gene drives: the development of disease-resistant mosquitoes that could knock out malaria and Zika.",TED2016,0:12:25,2/2016,5/9/16,14.19208842
2441,Al Gore,The case for optimism on climate change,http://www.ted.com/talks/view/id/2441,"Why is Al Gore optimistic about climate change? In this spirited talk, Gore asks three powerful questions about the man-made forces threatening to destroy our planet -- and the solutions we're designing to combat them. (Featuring Q&A with TED Curator Chris Anderson)",TED2016,0:25:20,2/2016,2/22/16,14.27167385
2407,Achenyo Idachaba,How I turned a deadly plant into a thriving business,http://www.ted.com/talks/view/id/2407,"The water hyacinth may look like a harmless, even beautiful flowering plant -- but it's actually an invasive aquatic weed that clogs waterways, stopping trade, interrupting schooling and disrupting everyday life. In this scourge, green entrepreneur Achenyo Idachaba saw opportunity. Follow her journey as she turns weeds into woven wonders.",TEDWomen 2015,0:07:17,5/2015,1/21/16,14.34422639
2788,T. Morgan Dixon and Vanessa Garrison,Walking as a revolutionary act of self-care,http://www.ted.com/talks/view/id/2788,"When black women walk, things change, say T. Morgan Dixon and Vanessa Garrison, the founders of the health nonprofit GirlTrek. They're on a mission to reduce the leading causes of preventable death among black women — and build communities in the process. How? By getting one million black women and girls to prioritize their self-care, lacing up their shoes and walking in the direction of their healthiest, most fulfilled lives.",TED2017,0:15:33,4/2017,5/19/17,13.17178001
1279,Natalie Warne,Being young and making an impact,http://www.ted.com/talks/view/id/1279,"At 18, Natalie Warneâ€™s work with the Invisible Children movement made her a hero for young activists. She uses her inspiring story to remind us that no one is too young to change the world.",TEDxTeen,0:12:52,4/2011,11/20/11,13.22186295
1388,Adam Savage,How simple ideas lead to scientific discoveries,http://www.ted.com/talks/view/id/1388,"Adam Savage walks through two spectacular examples of profound scientific discoveries that came from simple, creative methods anyone could have followed -- Eratosthenes' calculation of the Earth's circumference around 200 BC and Hippolyte Fizeau's measurement of the speed of light in 1849.",TED-Ed,0:07:32,11/2011,3/13/12,13.66941253
1039,Beverly + Dereck Joubert,Life lessons from big cats,http://www.ted.com/talks/view/id/1039,"Beverly + Dereck Joubert live in the bush, filming and photographing lions and leopards in their natural habitat. With stunning footage (some never before seen), they discuss their personal relationships with these majestic animals -- and their quest to save the big cats from human threats.",TEDWomen 2010,0:17:20,12/2010,12/20/10,13.64537446
466,Gustavo Dudamel and the Teresa CarreÃ¢Ë†Å¡Ã‚Â±o Youth Orchestra,El Sistema's top youth orchestra,http://www.ted.com/talks/view/id/466,"The Teresa CarreÃ±o Youth Orchestra contains the best high school musicians from Venezuela's life-changing music program, El Sistema. Led here by Gustavo Dudamel, they play Shostakovich's Symphony No. 10, 2nd movement, and Arturo MÃ¡rquez' DanzÃ_n No. 2.",TED2009,0:17:06,2/2009,2/18/09,14.52182023
1862,Arthur Benjamin,The magic of Fibonacci numbers,http://www.ted.com/talks/view/id/1862,"Math is logical, functional and just ... awesome. Mathemagician Arthur Benjamin explores hidden properties of that weird and wonderful set of numbers, the Fibonacci series. (And reminds you that mathematics can be inspiring, too!)",TEDGlobal 2013,0:06:24,6/2013,11/8/13,15.25719208
1243,Richard Seymour,How beauty feels,http://www.ted.com/talks/view/id/1243,"A story, a work of art, a face, a designed object -- how do we tell that something is beautiful? And why does it matter so much to us? Designer Richard Seymour explores our response to beauty and the surprising power of objects that exhibit it.",TEDSalon London Spring 2011,0:17:15,3/2011,10/11/11,13.75319676
2610,Tasos Frantzolas,Everything you hear on film is a lie,http://www.ted.com/talks/view/id/2610,"Sound design is built on deception -- when you watch a movie or TV show, nearly all of the sounds you hear are fake. In this audio-rich talk, Tasos Frantzolas explores the role of sound in storytelling and demonstrates just how easily our brains are fooled by what we hear.",TEDxAthens,0:16:33,2/2016,10/27/16,13.98489715
2309,Benedetta Berti,The surprising way groups like ISIS stay in power,http://www.ted.com/talks/view/id/2309,"ISIS, Hezbollah, Hamas. These three very different groups are known for violence -- but thatâ€™s only a portion of what they do, says policy analyst Benedetta Berti. They also attempt to win over populations with social work: setting up schools and hospitals, offering safety and security, and filling the gaps left by weak governments. Understanding the broader work of these groups suggests new strategies for ending the violence.",TED2015,0:05:38,3/2015,8/10/15,14.44891994
952,Ben Cameron,Why the live arts matter,http://www.ted.com/talks/view/id/952,"How can the magic of live theater, live music, live dance compete with the always-on Internet? Ben Cameron offers a bold look forward to a world where live arts matter more than ever -- to link humans together at a primal level of shared experience.",TEDxYYC,0:12:44,2/2010,9/10/10,13.10706292
14,Golan Levin,Software (as) art,http://www.ted.com/talks/view/id/14,"Engineer and artist Golan Levin pushes the boundaries of what's possible with audiovisuals and technology. In an amazing TED display, he shows two programs he wrote to perform his original compositions.",TED2004,0:14:53,2/2004,4/5/07,13.30652491
1894,Andrew Solomon,"Depression, the secret we share",http://www.ted.com/talks/view/id/1894,"""The opposite of depression is not happiness, but vitality, and it was vitality that seemed to seep away from me in that moment."" In a talk equal parts eloquent and devastating, writer Andrew Solomon takes you to the darkest corners of his mind during the years he battled depression. That led him to an eye-opening journey across the world to interview others with depression -- only to discover that, to his surprise, the more he talked, the more people wanted to tell their own stories.",TEDxMet,0:29:21,10/2013,12/18/13,15.75016459
1405,Marco Tempest,A magical tale (with augmented reality),http://www.ted.com/talks/view/id/1405,"Marco Tempest spins a beautiful story of what magic is, how it entertains us and how it highlights our humanity -- all while working extraordinary illusions with his hands and an augmented reality machine.",TED2012,0:06:31,2/2012,3/30/12,14.14382821
1166,Alice Dreger,Is anatomy destiny?,http://www.ted.com/talks/view/id/1166,"Alice Dreger works with people at the edge of anatomy, such as conjoined twins and intersexed people. In her observation, it's often a fuzzy line between male and female, among other anatomical distinctions. Which brings up a huge question: Why do we let our anatomy determine our fate?",TEDxNorthwesternU,0:18:48,12/2010,6/10/11,13.87130565
40,Frans Lanting,The story of life in photographs,http://www.ted.com/talks/view/id/40,"In this stunning slideshow, celebrated nature photographer Frans Lanting presents The LIFE Project, a poetic collection of photographs that tell the story of our planet, from its eruptive beginnings to its present diversity. Soundtrack by Philip Glass.",TED2005,0:16:17,2/2005,4/5/07,14.31510272
1906,Sheryl Sandberg,So we leaned in ... now what?,http://www.ted.com/talks/view/id/1906,"Sheryl Sandberg admits she was terrified to step onto the TED stage in 2010 -- because she was going to talk, for the first time, about the lonely experience of being a woman in the top tiers of business. Millions of views (and a best-selling book) later, the Facebook COO talks with the woman who pushed her to give that first talk, Pat Mitchell. Sandberg opens up about the reaction to her idea, and explores the ways that women still struggle with success.",TEDWomen 2013,0:16:56,12/2013,1/15/14,14.54098019
859,William Li,Can we eat to starve cancer?,http://www.ted.com/talks/view/id/859,"William Li presents a new way to think about treating cancer and other diseases: anti-angiogenesis, preventing the growth of blood vessels that feed a tumor. The crucial first (and best) step: Eating cancer-fighting foods that cut off the supply lines and beat cancer at its own game.",TED2010,0:20:02,2/2010,5/17/10,15.2212288
2632,Juan Enriquez,What will humans look like in 100 years?,http://www.ted.com/talks/view/id/2632,"We can evolve bacteria, plants and animals -- futurist Juan Enriquez asks: Is it ethical to evolve the human body? In a visionary talk that ranges from medieval prosthetics to present day neuroengineering and genetics, Enriquez sorts out the ethics associated with evolving humans and imagines the ways we'll have to transform our own bodies if we hope to explore and live in places other than Earth.",TEDSummit,0:15:45,6/2016,11/22/16,14.70002369
272,Philip Zimbardo,The psychology of evil,http://www.ted.com/talks/view/id/272,"Philip Zimbardo knows how easy it is for nice people to turn bad. In this talk, he shares insights and graphic unseen photos from the Abu Ghraib trials. Then he talks about the flip side: how easy it is to be a hero, and how we can rise to the challenge.",TED2008,0:23:16,2/2008,9/23/08,15.56481023
224,Roy Gould + Curtis Wong,A preview of the WorldWide Telescope,http://www.ted.com/talks/view/id/224,"Educator Roy Gould and researcher Curtis Wong show a sneak preview of Microsoftâ€™s WorldWide Telescope, which compiles images from telescopes and satellites to build a comprehensive, interactive view of our universe.",TED2008,0:06:42,2/2008,2/27/08,13.84552945
575,Clay Shirky,How social media can make history,http://www.ted.com/talks/view/id/575,"While news from Iran streams to the world, Clay Shirky shows how Facebook, Twitter and TXTs help citizens in repressive regimes to report on real news, bypassing censors (however briefly). The end of top-down control of news is changing the nature of politics.",TED@State,0:15:48,6/2009,6/16/09,14.32426604
1439,Rick Guidotti,From stigma to supermodel,http://www.ted.com/talks/view/id/1439,"Rick Guidotti is a fashion photographer with a passion project: finding and sharing the beauty of kids with albinism and other conditions that affect their physical appearance -- and the way society treats them. At TEDxPhoenix, he shares some of their stories and the empowering effects of a little glamour as he redefines their beauty in a flash.",TEDxPhoenix,0:18:04,11/2011,5/6/12,12.01093329
140,Hans Rosling,New insights on poverty,http://www.ted.com/talks/view/id/140,"Researcher Hans Rosling uses his cool data tools to show how countries are pulling themselves out of poverty. He demos Dollar Street, comparing households of varying income levels worldwide. Then he does something really amazing.",TED2007,0:18:57,3/2007,6/25/07,14.9796028
475,Willie Smits,How to restore a rainforest,http://www.ted.com/talks/view/id/475,"By piecing together a complex ecological puzzle, biologist Willie Smits believes he has found a way to re-grow clearcut rainforest in Borneo, saving local orangutans -- and creating a thrilling blueprint for restoring fragile ecosystems. NOTE: The core content of this talk has been challenged on a number of grounds. For details, and Willie Smits' response, please see ""A challenge to Willie Smits' talk"" below.",TED2009,0:20:42,2/2009,3/3/09,13.40918458
824,Michael Specter,The danger of science denial,http://www.ted.com/talks/view/id/824,"Vaccine-autism claims, ""Frankenfood"" bans, the herbal cure craze: All point to the public's growing fear (and, often, outright denial) of science and reason, says Michael Specter. He warns the trend spells disaster for human progress.",TED2010,0:19:01,2/2010,4/12/10,14.40605619
1644,Jarrett J. Krosoczka,How a boy became an artist,http://www.ted.com/talks/view/id/1644,"This talk paints the funny and touching story of a little boy who pursued a simple passion: to draw and write stories. With the help of a supporting cast of family and teachers, Jarrett J. Krosoczka tells how he grew up to create beloved children's books.",TEDxHampshireCollege,0:18:48,10/2012,1/9/13,13.67429025
531,Brian Cox,What went wrong at the LHC,http://www.ted.com/talks/view/id/531,"In this short talk from TED U 2009, Brian Cox shares what's new with the CERN supercollider. He covers the repairs now underway and what the future holds for the largest science experiment ever attempted.",TED2009,0:03:29,2/2009,5/1/09,13.74804937
274,Clay Shirky,Institutions vs. collaboration,http://www.ted.com/talks/view/id/274,"In this prescient 2005 talk, Clay Shirky shows how closed groups and companies will give way to looser networks where small contributors have big roles and fluid cooperation replaces rigid planning.",TEDGlobal 2005,0:20:46,7/2005,7/10/08,13.89110956
524,Ben Katchor,Comics of bygone New York,http://www.ted.com/talks/view/id/524,"In this captivating talk from the TED archive, cartoonist Ben Katchor reads from his comic strips. These perceptive, surreal stories find the profound hopes and foibles of history (and modern New York) preserved in objects like light switches and signs.",TED2002,0:11:11,2/2002,4/22/09,12.58132594
2595,John McWhorter,4 reasons to learn a new language,http://www.ted.com/talks/view/id/2595,"English is fast becoming the world's universal language, and instant translation technology is improving every year. So why bother learning a foreign language? Linguist and Columbia professor John McWhorter shares four alluring benefits of learning an unfamiliar tongue.",TED2016,0:10:01,2/2016,10/7/16,14.52687676
1577,Robert Gupta,Between music and medicine,http://www.ted.com/talks/view/id/1577,"When Robert Gupta was caught between a career as a doctor and as a violinist, he realized his place was in the middle, with a bow in his hand and a sense of social justice in his heart. He tells a moving story of societyâ€™s marginalized and the power of music therapy, which can succeed where conventional medicine fails.",TEDMED 2012,0:16:27,4/2012,10/2/12,13.83402412
509,Bonnie Bassler,"How bacteria ""talk""",http://www.ted.com/talks/view/id/509,"Bonnie Bassler discovered that bacteria ""talk"" to each other, using a chemical language that lets them coordinate defense and mount attacks. The find has stunning implications for medicine, industry -- and our understanding of ourselves.",TED2009,0:18:14,2/2009,4/8/09,14.58548868
1250,Guy-Philippe Goldstein,How cyberattacks threaten real-world peace,http://www.ted.com/talks/view/id/1250,"Nations can now attack other nations with cyber weapons: silent strikes on another country's computer systems, power grids, dams that leave no trace behind. (Think of the Stuxnet worm.) Guy-Philippe Goldstein shows how cyberattacks can leap between the digital and physical worlds to prompt armed conflict -- and how we might avert this global security hazard.",TEDxParis 2010,0:09:24,1/2010,10/19/11,13.04807939
1255,Malcolm Gladwell,The strange tale of the Norden bombsight,http://www.ted.com/talks/view/id/1255,"Master storyteller Malcolm Gladwell tells the tale of the Norden bombsight, a groundbreaking piece of World War II technology with a deeply unexpected result.",TEDGlobal 2011,0:15:00,7/2011,10/26/11,13.82822736
1943,Anne-Marie Slaughter,"Can we all ""have it all""?",http://www.ted.com/talks/view/id/1943,"Public policy expert Anne-Marie Slaughter made waves with her 2012 article, ""Why women still can't have it all."" But really, is this only a question for women? Here Slaughter expands her ideas and explains why shifts in work culture, public policy and social mores can lead to more equality -- for men, women, all of us.",TEDGlobal 2013,0:17:11,6/2013,3/12/14,14.12464757
259,Paul Ewald,Can we domesticate germs?,http://www.ted.com/talks/view/id/259,"Evolutionary biologist Paul Ewald drags us into the sewer to discuss germs. Why are some more harmful than others? How could we make the harmful ones benign? Searching for answers, he examines a disgusting, fascinating case: diarrhea.",TED2007,0:17:51,3/2007,5/7/08,12.97513866
643,Taryn Simon,Photographs of secret sites,http://www.ted.com/talks/view/id/643,"Taryn Simon exhibits her startling take on photography -- to reveal worlds and people we would never see otherwise. She shares two projects: one documents otherworldly locations typically kept secret from the public, the other involves haunting portraits of men convicted for crimes they did not commit.",TEDGlobal 2009,0:17:32,7/2009,9/24/09,14.2601015
1066,Johanna Blakley,Social media and the end of gender,http://www.ted.com/talks/view/id/1066,"Media and advertising companies still use the same old demographics to understand audiences, but they're becoming increasingly harder to track online, says media researcher Johanna Blakley. As social media outgrows traditional media, and women users outnumber men, Blakley explains what changes are in store for the future of media.",TEDWomen 2010,0:08:27,12/2010,2/2/11,14.03798749
1049,Jody Williams,A realistic vision for world peace,http://www.ted.com/talks/view/id/1049,"Nobel Peace laureate Jody Williams brings tough love to the dream of world peace, with her razor-sharp take on what ""peace"" really means, and a set of profound stories that zero in on the creative struggle -- and sacrifice -- of those who work for it.",TEDWomen 2010,0:10:52,12/2010,1/10/11,13.37751709
1043,Barry Schwartz,Using our practical wisdom,http://www.ted.com/talks/view/id/1043,"In an intimate talk, Barry Schwartz dives into the question ""How do we do the right thing?"" With help from collaborator Kenneth Sharpe, he shares stories that illustrate the difference between following the rules and truly choosing wisely.",TEDSalon NY2011,0:23:07,11/2010,12/31/10,13.74002595
2737,Stephanie Busari,How fake news does real harm,http://www.ted.com/talks/view/id/2737,"On April 14, 2014, the terrorist organization Boko Haram kidnapped more than 200 schoolgirls from the town of Chibok, Nigeria. Around the world, the crime became epitomized by the slogan #BringBackOurGirls -- but in Nigeria, government officials called the crime a hoax, confusing and delaying efforts to rescue the girls. In this powerful talk, journalist Stephanie Busari points to the Chibok tragedy to explain the deadly danger of fake news and what we can do to stop it.",TEDLagos Ideas Search,0:06:26,2/2017,4/24/17,13.48051463
702,Anupam Mishra,The ancient ingenuity of water harvesting,http://www.ted.com/talks/view/id/702,"With wisdom and wit, Anupam Mishra talks about the amazing feats of engineering built centuries ago by the people of India's Golden Desert to harvest water. These ancient aqueducts and stepwells are still used today -- and are often superior to modern water megaprojects.",TEDIndia 2009,0:17:14,11/2009,12/3/09,13.61901989
1429,Eduardo Paes,The 4 commandments of cities,http://www.ted.com/talks/view/id/1429,"Eduardo Paes is the mayor of Rio de Janeiro, a sprawling, complicated, beautiful city of 6.5 million. He shares four big ideas about leading Rio -- and all cities -- into the future, including bold (and do-able) infrastructure upgrades and how to make a city ""smarter.""",TED2012,0:12:21,2/2012,4/26/12,13.62513788
2170,Sarah Bergbreiter,Why I make robots the size of a grain of rice,http://www.ted.com/talks/view/id/2170,"By studying the movement and bodies of insects such as ants, Sarah Bergbreiter and her team build incredibly robust, super teeny, mechanical versions of creepy crawlies Ã¢â‚¬Â_ and then they add rockets. See their jaw-dropping developments in micro-robotics, and hear about three ways we might use these little helpers in the future.",TEDYouth 2014,0:06:06,11/2014,1/21/15,14.18690169
2631,Adam Galinsky,How to speak up for yourself,http://www.ted.com/talks/view/id/2631,"Speaking up is hard to do, even when you know you should. Learn how to assert yourself, navigate tricky social situations and expand your personal power with sage guidance from social psychologist Adam Galinsky.",TEDxNewYork,0:15:08,9/2016,11/23/16,14.9055139
1095,Janna Levin,The sound the universe makes,http://www.ted.com/talks/view/id/1095,"We think of space as a silent place. But physicist Janna Levin says the universe has a soundtrack -- a sonic composition that records some of the most dramatic events in outer space. (Black holes, for instance, bang on spacetime like a drum.) An accessible and mind-expanding soundwalk through the universe.",TED2011,0:17:43,3/2011,3/15/11,13.9092841
2705,Joy Buolamwini,How I'm fighting bias in algorithms,http://www.ted.com/talks/view/id/2705,"MIT grad student Joy Buolamwini was working with facial analysis software when she noticed a problem: the software didn't detect her face -- because the people who coded the algorithm hadn't taught it to identify a broad range of skin tones and facial structures. Now she's on a mission to fight bias in machine learning, a phenomenon she calls the ""coded gaze."" It's an eye-opening talk about the need for accountability in coding ... as algorithms take over more and more aspects of our lives.",TEDxBeaconStreet,0:08:44,11/2016,3/9/17,13.43918232
736,Lalitesh Katragadda,"Making maps to fight disaster, build economies",http://www.ted.com/talks/view/id/736,"As of 2005, only 15 percent of the world was mapped. This slows the delivery of aid after a disaster -- and hides the economic potential of unused lands and unknown roads. In this short talk, Google's Lalitesh Katragadda demos Map Maker, a group map-making tool that people around the globe are using to map their world.",TEDIndia 2009,0:02:54,11/2009,1/13/10,12.78451299
1202,Harald Haas,Wireless data from every light bulb,http://www.ted.com/talks/view/id/1202,"What if every light bulb in the world could also transmit data? At TEDGlobal, Harald Haas demonstrates, for the first time, a device that could do exactly that. By flickering the light from a single LED, a change too quick for the human eye to detect, he can transmit far more data than a cellular tower -- and do it in a way that's more efficient, secure and widespread.",TEDGlobal 2011,0:12:51,7/2011,8/2/11,14.72272422
1338,Ariel Garten,"Know thyself, with a brain scanner",http://www.ted.com/talks/view/id/1338,"Imagine playing a video game controlled by your mind. Now imagine that game also teaches you about your own patterns of stress, relaxation and focus. Ariel Garten shows how looking at our own brain activity gives new meaning to the ancient dictum ""know thyself.""",TEDxToronto 2011,0:15:04,9/2011,1/26/11,12.88514879
1901,Roger Stein,A bold new way to fund drug research,http://www.ted.com/talks/view/id/1901,"Believe it or not, about 20 years' worth of potentially life-saving drugs are sitting in labs right now, untested. Why? Because they can't get the funding to go to trials; the financial risk is too high. Roger Stein is a finance guy, and he thinks deeply about mitigating risk. He and some colleagues at MIT came up with a promising new financial model that could move hundreds of drugs into the testing pipeline.",TED@State Street Boston,0:11:09,11/2013,1/7/14,13.70679776
630,Rebecca Saxe,How we read each other's minds,http://www.ted.com/talks/view/id/630,"Sensing the motives and feelings of others is a natural talent for humans. But how do we do it? Here, Rebecca Saxe shares fascinating lab work that uncovers how the brain thinks about other peoples' thoughts -- and judges their actions.",TEDGlobal 2009,0:16:51,7/2009,9/10/09,14.85202579
371,Garrett Lisi,An 8-dimensional model of the universe,http://www.ted.com/talks/view/id/371,"Physicist and surfer Garrett Lisi presents a controversial new model of the universe that -- just maybe -- answers all the big questions. If nothing else, it's the most beautiful 8-dimensional model of elementary particles and forces you've ever seen.",TED2008,0:21:26,2/2008,10/14/08,14.19900473
1993,Randall Munroe,"Comics that ask ""what if?""",http://www.ted.com/talks/view/id/1993,"Web cartoonist Randall Munroe answers simple what-if questions (""what if you hit a baseball moving at the speed of light?"") using math, physics, logic and deadpan humor. In this charming talk, a reader's question about Google's data warehouse leads Munroe down a circuitous path to a hilariously over-detailed answer -- in which, shhh, you might actually learn something.",TED2014,0:09:29,3/2014,5/8/14,14.71999102
51,Amory Lovins,Winning the oil endgame,http://www.ted.com/talks/view/id/51,"In this energizing talk, Amory Lovins lays out his simple plan for weaning the US off oil and revitalizing the economy.",TED2005,0:19:44,2/2005,12/11/07,13.60604429
